accuracy,hidden_layer_size,alpha,max_iter,solver
0.0784313725490196,"[200, 100]",0.5,400,sgd
0.09803921568627451,"[200, 100]",0.5,400,sgd
0.08496732026143791,"[200, 100]",0.5,400,sgd
0.0784313725490196,"[200, 100]",0.6,400,sgd
0.09586056644880174,"[200, 100]",0.6,400,sgd
0.10893246187363835,"[200, 100]",0.6,400,sgd
0.11764705882352941,"[200, 200]",0.0001,400,sgd
0.13507625272331156,"[200, 200]",0.0001,400,sgd
0.13725490196078433,"[200, 200]",0.0001,400,sgd
0.12418300653594772,"[200, 200]",0.001,400,sgd
0.10893246187363835,"[200, 200]",0.001,400,sgd
0.12854030501089325,"[200, 200]",0.001,400,sgd
0.09586056644880174,"[200, 200]",0.01,400,sgd
0.12418300653594772,"[200, 200]",0.01,400,sgd
0.10021786492374728,"[200, 200]",0.01,400,sgd
0.10893246187363835,"[200, 200]",0.1,400,sgd
0.11764705882352941,"[200, 200]",0.1,400,sgd
0.10021786492374728,"[200, 200]",0.1,400,sgd
0.09803921568627451,"[200, 200]",0.3,400,sgd
0.10457516339869281,"[200, 200]",0.3,400,sgd
0.0915032679738562,"[200, 200]",0.3,400,sgd
0.08061002178649238,"[200, 200]",0.5,400,sgd
0.09586056644880174,"[200, 200]",0.5,400,sgd
0.08061002178649238,"[200, 200]",0.5,400,sgd
0.0718954248366013,"[200, 200]",0.6,400,sgd
0.0915032679738562,"[200, 200]",0.6,400,sgd
0.08061002178649238,"[200, 200]",0.6,400,sgd
0.09803921568627451,"[200, 250]",0.0001,400,sgd
0.12418300653594772,"[200, 250]",0.0001,400,sgd
0.11764705882352941,"[200, 250]",0.0001,400,sgd
0.09368191721132897,"[200, 250]",0.001,400,sgd
0.11328976034858387,"[200, 250]",0.001,400,sgd
0.11546840958605664,"[200, 250]",0.001,400,sgd
0.10675381263616558,"[200, 250]",0.01,400,sgd
0.12636165577342048,"[200, 250]",0.01,400,sgd
0.12200435729847495,"[200, 250]",0.01,400,sgd
0.08932461873638345,"[200, 250]",0.1,400,sgd
0.10457516339869281,"[200, 250]",0.1,400,sgd
0.10893246187363835,"[200, 250]",0.1,400,sgd
0.08714596949891068,"[200, 250]",0.3,400,sgd
0.1111111111111111,"[200, 250]",0.3,400,sgd
0.09586056644880174,"[200, 250]",0.3,400,sgd
0.0718954248366013,"[200, 250]",0.5,400,sgd
0.09803921568627451,"[200, 250]",0.5,400,sgd
0.08061002178649238,"[200, 250]",0.5,400,sgd
0.0784313725490196,"[200, 250]",0.6,400,sgd
0.0915032679738562,"[200, 250]",0.6,400,sgd
0.08061002178649238,"[200, 250]",0.6,400,sgd
0.11764705882352941,"[250, 100]",0.0001,400,sgd
0.13507625272331156,"[250, 100]",0.0001,400,sgd
0.12854030501089325,"[250, 100]",0.0001,400,sgd
0.13725490196078433,"[250, 100]",0.001,400,sgd
0.12418300653594772,"[250, 100]",0.001,400,sgd
0.13725490196078433,"[250, 100]",0.001,400,sgd
0.11328976034858387,"[250, 100]",0.01,400,sgd
0.13725490196078433,"[250, 100]",0.01,400,sgd
0.12636165577342048,"[250, 100]",0.01,400,sgd
0.09368191721132897,"[250, 100]",0.1,400,sgd
0.12418300653594772,"[250, 100]",0.1,400,sgd
0.08278867102396514,"[250, 100]",0.1,400,sgd
0.10021786492374728,"[250, 100]",0.3,400,sgd
0.10457516339869281,"[250, 100]",0.3,400,sgd
0.09803921568627451,"[250, 100]",0.3,400,sgd
0.0718954248366013,"[250, 100]",0.5,400,sgd
0.09368191721132897,"[250, 100]",0.5,400,sgd
0.09368191721132897,"[250, 100]",0.5,400,sgd
0.0718954248366013,"[250, 100]",0.6,400,sgd
0.0915032679738562,"[250, 100]",0.6,400,sgd
0.09368191721132897,"[250, 100]",0.6,400,sgd
0.11328976034858387,"[250, 200]",0.0001,400,sgd
0.12636165577342048,"[250, 200]",0.0001,400,sgd
0.12418300653594772,"[250, 200]",0.0001,400,sgd
0.11764705882352941,"[250, 200]",0.001,400,sgd
0.11546840958605664,"[250, 200]",0.001,400,sgd
0.12636165577342048,"[250, 200]",0.001,400,sgd
0.11764705882352941,"[250, 200]",0.01,400,sgd
0.15904139433551198,"[250, 200]",0.01,400,sgd
0.14161220043572983,"[250, 200]",0.01,400,sgd
0.11546840958605664,"[250, 200]",0.1,400,sgd
0.12200435729847495,"[250, 200]",0.1,400,sgd
0.11328976034858387,"[250, 200]",0.1,400,sgd
0.10893246187363835,"[250, 200]",0.3,400,sgd
0.12200435729847495,"[250, 200]",0.3,400,sgd
0.1111111111111111,"[250, 200]",0.3,400,sgd
0.08278867102396514,"[250, 200]",0.5,400,sgd
0.0915032679738562,"[250, 200]",0.5,400,sgd
0.08496732026143791,"[250, 200]",0.5,400,sgd
0.08061002178649238,"[250, 200]",0.6,400,sgd
0.10675381263616558,"[250, 200]",0.6,400,sgd
0.08714596949891068,"[250, 200]",0.6,400,sgd
0.11982570806100218,"[250, 250]",0.0001,400,sgd
0.13725490196078433,"[250, 250]",0.0001,400,sgd
0.12200435729847495,"[250, 250]",0.0001,400,sgd
0.13071895424836602,"[250, 250]",0.001,400,sgd
0.1394335511982571,"[250, 250]",0.001,400,sgd
0.10675381263616558,"[250, 250]",0.001,400,sgd
0.10675381263616558,"[250, 250]",0.01,400,sgd
0.15250544662309368,"[250, 250]",0.01,400,sgd
0.12418300653594772,"[250, 250]",0.01,400,sgd
0.09368191721132897,"[250, 250]",0.1,400,sgd
0.1437908496732026,"[250, 250]",0.1,400,sgd
0.11546840958605664,"[250, 250]",0.1,400,sgd
0.0915032679738562,"[250, 250]",0.3,400,sgd
0.11546840958605664,"[250, 250]",0.3,400,sgd
0.10675381263616558,"[250, 250]",0.3,400,sgd
0.08278867102396514,"[250, 250]",0.5,400,sgd
0.10021786492374728,"[250, 250]",0.5,400,sgd
0.0915032679738562,"[250, 250]",0.5,400,sgd
